date,cost_of_sales,selling_price,net_profit,project_name,project_category,project_status
2000-02-10,3195.77,4485.63,1289.86,Proj2,Category1,In - Progress
2000-02-11,3328.62,4395.45,1066.83,Proj1,Category1,In - Progress
2000-02-14,3335.97,4418.55,1082.58,Proj8,Category3,Completed
2000-02-15,3428.16,4420.77,992.61,Proj3,Category1,In - Progress
2000-02-16,3232.1,4427.65,1195.55,Proj4,Category2,In - Progress
2000-02-17,3519.47,4548.92,1029.45,Proj7,Category3,On - hold
2000-02-18,3306.55,4411.74,1105.2,Proj3,Category1,In - Progress
2000-02-22,3210.68,4382.12,1171.44,Proj8,Category3,Completed
2000-02-23,6122.988,5460.396,1148.67,Proj5,Category2,On - hold
2000-02-24,3353.7,4617.65,1263.95,Proj1,Category1,In - Progress
2000-02-25,3504.52,4590.5,1085.98,Proj1,Category1,In - Progress
2000-02-28,3573.19,4577.85,1004.66,Proj4,Category2,In - Progress
2000-02-29,3554.67,4696.69,1142.02,Proj4,Category2,In - Progress
2000-03-01,3636.61,4784.08,1147.47,Proj2,Category1,In - Progress
2000-03-02,3647.55,4754.51,1106.96,Proj4,Category2,In - Progress
2000-03-03,3865.78,4914.79,1049.01,Proj7,Category3,On - hold
2000-03-06,6902.856000000001,5885.820000000001,1069.93,Proj5,Category2,On - hold
2000-03-07,3588.78,4847.84,1259.06,Proj6,Category2,On - hold
2000-03-08,3545.5,4897.26,1351.76,Proj8,Category3,Completed
2000-03-09,3885.49,5046.86,1161.37,Proj3,Category1,In - Progress
2000-03-10,9185.225,8582.654,1374.53,Proj9,Category3,Completed
2000-03-13,3644.12,4907.24,1263.12,Proj3,Category1,In - Progress
2000-03-14,3393.07,4706.63,1313.56,Proj3,Category1,In - Progress
2000-03-15,3482.65,4582.62,1099.97,Proj4,Category2,In - Progress
2000-03-16,3484.35,4717.39,1233.04,Proj2,Category1,In - Progress
2000-03-17,3718.93,4798.13,1079.2,Proj1,Category1,In - Progress
2000-03-20,3587.45,4610.0,1022.55,Proj8,Category3,Completed
2000-03-21,6219.882,5654.0160000000005,1256.2,Proj5,Category2,On - hold
2000-03-22,3725.2,4864.75,1139.55,Proj4,Category2,In - Progress
2000-03-23,3758.05,4940.61,1182.56,Proj6,Category2,On - hold
2000-03-24,6741.09,5955.6359999999995,1217.98,Proj5,Category2,On - hold
2000-03-27,3654.72,4958.56,1303.84,Proj2,Category1,In - Progress
2000-03-28,3515.05,4833.89,1318.85,Proj2,Category1,In - Progress
2000-03-29,8663.75,7895.939,1179.17,Proj9,Category3,Completed
2000-03-30,3242.49,4457.89,1215.4,Proj7,Category3,On - hold
2000-03-31,6156.162,5487.396,1152.74,Proj5,Category2,On - hold
2000-04-03,3209.76,4223.68,1013.92,Proj3,Category1,In - Progress
2000-04-04,3074.25,4148.89,1074.64,Proj6,Category2,On - hold
2000-04-05,8082.625,7087.674,936.17,Proj9,Category3,Completed
2000-04-06,3136.4,4267.56,1131.16,Proj3,Category1,In - Progress
2000-04-07,3218.12,4446.45,1228.33,Proj2,Category1,In - Progress
2000-04-10,5611.194,5025.839999999999,1070.87,Proj5,Category2,On - hold
2000-04-11,3106.46,4055.9,949.44,Proj8,Category3,Completed
2000-04-12,2922.69,3769.63,846.94,Proj1,Category1,In - Progress
2000-04-13,2763.83,3676.78,912.95,Proj6,Category2,On - hold
2000-04-14,2514.61,3321.29,806.68,Proj1,Category1,In - Progress
2000-04-17,2605.46,3539.16,933.7,Proj7,Category3,On - hold
2000-04-18,3049.74,3793.57,743.83,Proj8,Category3,Completed
2000-04-19,2849.4,3706.41,857.01,Proj6,Category2,On - hold
2000-04-20,7052.35,6194.5960000000005,822.94,Proj9,Category3,Completed
2000-04-24,5020.632,4178.976,693.24,Proj5,Category2,On - hold
2000-04-25,4975.650000000001,4453.476,946.98,Proj5,Category2,On - hold
2000-04-26,2724.75,3630.09,905.34,Proj7,Category3,On - hold
2000-04-27,2986.1,3774.03,787.93,Proj8,Category3,Completed
2000-04-28,2906.31,3860.66,954.35,Proj8,Category3,Completed
2000-05-01,3047.66,3958.08,910.42,Proj6,Category2,On - hold
2000-05-02,5280.768000000001,4542.54,851.69,Proj5,Category2,On - hold
2000-05-03,2875.91,3707.31,831.4,Proj4,Category2,In - Progress
2000-05-04,2785.53,3720.24,934.71,Proj8,Category3,Completed
2000-05-05,2881.78,3816.82,935.04,Proj8,Category3,Completed
2000-05-08,2950.83,3669.38,718.55,Proj7,Category3,On - hold
2000-05-09,2586.17,3585.01,998.84,Proj2,Category1,In - Progress
2000-05-10,2572.59,3384.73,812.14,Proj6,Category2,On - hold
2000-05-11,2599.54,3499.58,900.04,Proj4,Category2,In - Progress
2000-05-12,2537.52,3529.06,991.54,Proj4,Category2,In - Progress
2000-05-15,4979.16,4329.18,841.45,Proj5,Category2,On - hold
2000-05-16,2893.0,3717.57,824.57,Proj7,Category3,On - hold
2000-05-17,2760.9,3644.96,884.06,Proj7,Category3,On - hold
2000-05-18,2767.19,3538.71,771.52,Proj6,Category2,On - hold
2000-05-19,2526.83,3390.4,863.57,Proj6,Category2,On - hold
2000-05-22,2333.6,3364.21,1030.61,Proj6,Category2,On - hold
2000-05-23,6327.474999999999,5379.735000000001,633.56,Proj9,Category3,Completed
2000-05-24,2428.87,3270.61,841.74,Proj2,Category1,In - Progress
2000-05-25,2393.52,3205.35,811.83,Proj1,Category1,In - Progress
2000-05-26,2383.08,3205.11,822.03,Proj3,Category1,In - Progress
2000-05-30,2582.51,3459.48,876.97,Proj6,Category2,On - hold
2000-05-31,2419.8,3400.91,981.11,Proj1,Category1,In - Progress
2000-06-01,2552.6,3582.5,1029.9,Proj3,Category1,In - Progress
2000-06-02,7246.475,6482.746,914.79,Proj9,Category3,Completed
2000-06-05,2804.58,3821.76,1017.18,Proj1,Category1,In - Progress
2000-06-06,2715.08,3756.37,1041.29,Proj1,Category1,In - Progress
2000-06-07,2956.0,3839.26,883.26,Proj8,Category3,Completed
2000-06-08,2826.76,3825.56,998.8,Proj4,Category2,In - Progress
2000-06-09,5216.3640000000005,4649.808,976.86,Proj5,Category2,On - hold
2000-06-12,2856.31,3767.91,911.6,Proj6,Category2,On - hold
2000-06-13,2760.42,3851.06,1090.64,Proj7,Category3,On - hold
2000-06-14,2620.12,3797.41,1177.29,Proj3,Category1,In - Progress
2000-06-15,2952.89,3845.74,892.85,Proj1,Category1,In - Progress
2000-06-16,6884.875,6562.951999999999,1106.61,Proj9,Category3,Completed
2000-06-19,2998.09,3989.83,991.74,Proj6,Category2,On - hold
2000-06-20,3009.09,4013.36,1004.27,Proj4,Category2,In - Progress
2000-06-21,2910.94,4064.01,1153.07,Proj3,Category1,In - Progress
2000-06-22,5415.282,4724.208,928.35,Proj5,Category2,On - hold
2000-06-23,2805.7,3845.34,1039.64,Proj6,Category2,On - hold
2000-06-26,3016.0,3912.12,896.12,Proj2,Category1,In - Progress
2000-06-27,3025.27,3858.96,833.69,Proj2,Category1,In - Progress
2000-06-28,2885.17,3940.34,1055.17,Proj6,Category2,On - hold
2000-06-29,2894.76,3877.23,982.47,Proj8,Category3,Completed
2000-06-30,3049.93,3966.11,916.18,Proj2,Category1,In - Progress
2000-07-03,3009.56,3991.93,982.37,Proj2,Category1,In - Progress
2000-07-05,2883.41,3863.1,979.69,Proj6,Category2,On - hold
2000-07-06,7262.675,6732.969,1055.5,Proj9,Category3,Completed
2000-07-07,3016.4,4023.2,1006.8,Proj8,Category3,Completed
2000-07-10,5460.21,4776.348,946.84,Proj5,Category2,On - hold
2000-07-11,3099.75,3956.42,856.67,Proj7,Category3,On - hold
2000-07-12,3118.55,4099.59,981.04,Proj4,Category2,In - Progress
2000-07-13,3121.42,4174.86,1053.44,Proj2,Category1,In - Progress
2000-07-14,3199.08,4246.18,1047.1,Proj2,Category1,In - Progress
2000-07-17,5947.794,5129.604,970.34,Proj5,Category2,On - hold
2000-07-18,7556.950000000001,7101.189,1154.39,Proj9,Category3,Completed
2000-07-19,8027.799999999999,6894.571,844.51,Proj9,Category3,Completed
2000-07-20,5636.790000000001,5021.472000000001,1053.01,Proj5,Category2,On - hold
2000-07-21,7746.25,6960.565,995.95,Proj9,Category3,Completed
2000-07-24,2807.42,3981.57,1174.15,Proj2,Category1,In - Progress
2000-07-25,3166.13,4029.57,863.44,Proj2,Category1,In - Progress
2000-07-26,3164.67,3987.72,823.05,Proj4,Category2,In - Progress
2000-07-27,5149.89,4610.6759999999995,981.18,Proj5,Category2,On - hold
2000-07-28,2782.68,3663.0,880.32,Proj3,Category1,In - Progress
2000-07-31,2789.61,3766.99,977.38,Proj3,Category1,In - Progress
2000-08-01,2636.35,3685.52,1049.17,Proj3,Category1,In - Progress
2000-08-02,2920.58,3658.46,737.88,Proj8,Category3,Completed
2000-08-03,2921.66,3759.88,838.22,Proj6,Category2,On - hold
2000-08-04,2999.54,3787.36,787.82,Proj7,Category3,On - hold
2000-08-07,2814.67,3862.99,1048.32,Proj3,Category1,In - Progress
2000-08-08,2850.49,3848.55,998.06,Proj6,Category2,On - hold
2000-08-09,2723.2,3853.5,1130.3,Proj1,Category1,In - Progress
2000-08-10,2833.86,3759.99,926.13,Proj7,Category3,On - hold
2000-08-11,2949.79,3789.47,839.68,Proj4,Category2,In - Progress
2000-08-14,2722.14,3849.69,1127.55,Proj1,Category1,In - Progress
2000-08-15,5141.466,4621.991999999999,995.29,Proj5,Category2,On - hold
2000-08-16,2906.26,3861.2,954.94,Proj7,Category3,On - hold
2000-08-17,2934.67,3940.87,1006.2,Proj6,Category2,On - hold
2000-08-18,5238.396,4716.408,1020.12,Proj5,Category2,On - hold
2000-08-21,3028.48,3953.15,924.67,Proj6,Category2,On - hold
2000-08-22,2742.29,3958.21,1215.92,Proj3,Category1,In - Progress
2000-08-23,3012.54,4011.01,998.47,Proj7,Category3,On - hold
2000-08-24,3076.87,4053.28,976.41,Proj7,Category3,On - hold
2000-08-25,5400.522,4851.215999999999,1042.39,Proj5,Category2,On - hold
2000-08-28,3194.24,4070.59,876.35,Proj2,Category1,In - Progress
2000-08-29,2981.54,4082.17,1100.63,Proj4,Category2,In - Progress
2000-08-30,3101.79,4103.81,1002.02,Proj8,Category3,Completed
2000-08-31,3138.9,4206.35,1067.45,Proj8,Category3,Completed
2000-09-01,3154.82,4234.33,1079.51,Proj3,Category1,In - Progress
2000-09-05,3064.83,4143.18,1078.35,Proj4,Category2,In - Progress
2000-09-06,2938.43,4013.34,1074.91,Proj1,Category1,In - Progress
2000-09-07,3155.76,4098.35,942.59,Proj4,Category2,In - Progress
2000-09-08,3015.31,3978.41,963.1,Proj6,Category2,On - hold
2000-09-11,2849.05,3896.35,1047.3,Proj1,Category1,In - Progress
2000-09-12,2948.73,3849.51,900.78,Proj7,Category3,On - hold
2000-09-13,5721.282,4672.668,715.4,Proj5,Category2,On - hold
2000-09-14,2824.45,3913.86,1089.41,Proj8,Category3,Completed
2000-09-15,2867.56,3835.23,967.67,Proj2,Category1,In - Progress
2000-09-18,5152.698,4471.824,863.91,Proj5,Category2,On - hold
2000-09-19,2883.99,3865.64,981.65,Proj2,Category1,In - Progress
2000-09-20,5415.75,4676.928,888.69,Proj5,Category2,On - hold
2000-09-21,2745.84,3828.87,1083.03,Proj6,Category2,On - hold
2000-09-22,2665.54,3803.76,1138.22,Proj8,Category3,Completed
2000-09-25,2602.65,3741.22,1138.57,Proj3,Category1,In - Progress
2000-09-26,2845.56,3689.1,843.54,Proj2,Category1,In - Progress
2000-09-27,2864.69,3656.3,791.61,Proj6,Category2,On - hold
2000-09-28,2812.13,3778.32,966.19,Proj6,Category2,On - hold
2000-09-29,2739.11,3672.82,933.71,Proj1,Category1,In - Progress
2000-10-02,6857.325,6067.13,825.97,Proj9,Category3,Completed
2000-10-03,2654.17,3455.83,801.66,Proj1,Category1,In - Progress
2000-10-04,2577.06,3523.1,946.04,Proj6,Category2,On - hold
2000-10-05,2684.58,3472.1,787.52,Proj6,Category2,On - hold
2000-10-06,2642.5,3361.01,718.51,Proj3,Category1,In - Progress
2000-10-09,2705.53,3355.56,650.03,Proj3,Category1,In - Progress
2000-10-10,2463.69,3240.54,776.85,Proj2,Category1,In - Progress
2000-10-11,2406.87,3168.49,761.62,Proj3,Category1,In - Progress
2000-10-12,4289.346,3689.6159999999995,691.71,Proj5,Category2,On - hold
2000-10-13,2419.06,3316.77,897.71,Proj2,Category1,In - Progress
2000-10-16,2476.24,3290.28,814.04,Proj1,Category1,In - Progress
2000-10-17,4380.156,3856.752,780.54,Proj5,Category2,On - hold
2000-10-18,2388.1,3171.56,783.46,Proj6,Category2,On - hold
2000-10-19,2476.24,3418.6,942.36,Proj4,Category2,In - Progress
2000-10-20,2647.7,3483.14,835.44,Proj6,Category2,On - hold
2000-10-23,2617.07,3468.69,851.62,Proj3,Category1,In - Progress
2000-10-24,2715.64,3419.79,704.15,Proj8,Category3,Completed
2000-10-25,2616.74,3229.57,612.83,Proj3,Category1,In - Progress
2000-10-26,2615.42,3272.18,656.76,Proj2,Category1,In - Progress
2000-10-27,2541.23,3278.36,737.13,Proj4,Category2,In - Progress
2000-10-30,5699.375,5425.38,911.65,Proj9,Category3,Completed
2000-10-31,2608.61,3369.63,761.02,Proj4,Category2,In - Progress
2000-11-01,4497.084000000001,4000.0679999999998,835.01,Proj5,Category2,On - hold
2000-11-02,2532.74,3429.02,896.28,Proj2,Category1,In - Progress
2000-11-03,6280.349999999999,5867.686,939.44,Proj9,Category3,Completed
2000-11-06,2562.54,3416.21,853.67,Proj3,Category1,In - Progress
2000-11-07,2494.63,3415.79,921.16,Proj2,Category1,In - Progress
2000-11-08,4310.91,3878.0399999999995,836.75,Proj5,Category2,On - hold
2000-11-09,2201.79,3200.35,998.56,Proj4,Category2,In - Progress
2000-11-10,2325.66,3028.99,703.33,Proj8,Category3,Completed
2000-11-13,3906.81,3560.064,796.27,Proj5,Category2,On - hold
2000-11-14,4285.386,3765.924,757.5,Proj5,Category2,On - hold
2000-11-15,2192.37,3165.49,973.12,Proj3,Category1,In - Progress
2000-11-16,2094.77,3031.88,937.11,Proj4,Category2,In - Progress
2000-11-17,2153.92,3027.19,873.27,Proj4,Category2,In - Progress
2000-11-20,1970.82,2875.64,904.82,Proj3,Category1,In - Progress
2000-11-21,2229.92,2871.45,641.53,Proj4,Category2,In - Progress
2000-11-22,1998.65,2755.34,756.69,Proj3,Category1,In - Progress
2000-11-24,5462.075,4937.446,719.55,Proj9,Category3,Completed
2000-11-27,1845.94,2880.49,1034.55,Proj8,Category3,Completed
2000-11-28,2100.4,2734.98,634.58,Proj6,Category2,On - hold
2000-11-29,5297.625,4601.781,587.88,Proj9,Category3,Completed
2000-11-30,3490.56,3117.5159999999996,658.73,Proj5,Category2,On - hold
2000-12-01,1855.75,2645.29,789.54,Proj7,Category3,On - hold
2000-12-04,2015.07,2615.75,600.68,Proj6,Category2,On - hold
2000-12-05,3878.7480000000005,3467.76,734.94,Proj5,Category2,On - hold
2000-12-06,2138.15,2796.5,658.35,Proj6,Category2,On - hold
2000-12-07,2112.78,2752.66,639.88,Proj1,Category1,In - Progress
2000-12-08,2020.57,2917.43,896.86,Proj3,Category1,In - Progress
2000-12-11,4408.254000000001,3618.12,566.07,Proj5,Category2,On - hold
2000-12-12,3873.06,3518.124,780.07,Proj5,Category2,On - hold
2000-12-13,3850.038,3387.324,683.86,Proj5,Category2,On - hold
2000-12-14,1986.51,2728.51,742.0,Proj6,Category2,On - hold
2000-12-15,3618.81,3183.924,642.82,Proj5,Category2,On - hold
2000-12-18,1872.47,2624.52,752.05,Proj8,Category3,Completed
2000-12-19,3580.74,3014.052,522.41,Proj5,Category2,On - hold
2000-12-20,1682.03,2332.78,650.75,Proj7,Category3,On - hold
2000-12-21,1711.78,2340.12,628.34,Proj1,Category1,In - Progress
2000-12-22,1919.98,2517.02,597.04,Proj6,Category2,On - hold
2000-12-26,1863.32,2493.52,630.2,Proj8,Category3,Completed
2000-12-27,1964.3,2539.35,575.05,Proj8,Category3,Completed
2000-12-28,1864.59,2557.76,693.17,Proj2,Category1,In - Progress
2000-12-29,4148.575,4199.884,811.09,Proj9,Category3,Completed
2001-01-02,1643.33,2291.86,648.53,Proj1,Category1,In - Progress
2001-01-03,1827.15,2616.69,789.54,Proj8,Category3,Completed
2001-01-04,1892.1,2566.83,674.73,Proj8,Category3,Completed
2001-01-05,1848.82,2407.65,558.83,Proj7,Category3,On - hold
2001-01-08,1753.61,2395.92,642.31,Proj1,Category1,In - Progress
2001-01-09,1799.52,2441.3,641.78,Proj2,Category1,In - Progress
2001-01-10,1978.75,2524.18,545.43,Proj7,Category3,On - hold
2001-01-11,1905.42,2640.57,735.15,Proj8,Category3,Completed
2001-01-12,1942.6,2626.5,683.9,Proj2,Category1,In - Progress
2001-01-16,2016.62,2618.55,601.93,Proj1,Category1,In - Progress
2001-01-17,2114.79,2682.78,567.99,Proj8,Category3,Completed
2001-01-18,1949.0,2768.49,819.49,Proj1,Category1,In - Progress
2001-01-19,3709.386,3324.456,709.61,Proj5,Category2,On - hold
2001-01-22,3680.01,3309.4919999999997,713.46,Proj5,Category2,On - hold
2001-01-23,2061.06,2840.39,779.33,Proj4,Category2,In - Progress
2001-01-24,3941.4599999999996,3430.98,669.44,Proj5,Category2,On - hold
2001-01-25,2087.82,2754.28,666.46,Proj3,Category1,In - Progress
2001-01-26,2140.88,2781.3,640.42,Proj2,Category1,In - Progress
2001-01-29,2096.52,2838.34,741.82,Proj4,Category2,In - Progress
2001-01-30,2257.14,2838.35,581.21,Proj7,Category3,On - hold
2001-01-31,1967.26,2772.73,805.47,Proj3,Category1,In - Progress
2001-02-01,2033.6,2782.79,749.19,Proj4,Category2,In - Progress
2001-02-02,5223.724999999999,4522.849999999999,571.01,Proj9,Category3,Completed
2001-02-05,1915.61,2643.21,727.6,Proj1,Category1,In - Progress
2001-02-06,1964.74,2664.49,699.75,Proj4,Category2,In - Progress
2001-02-07,1881.87,2607.82,725.95,Proj7,Category3,On - hold
2001-02-08,1851.17,2562.06,710.89,Proj4,Category2,In - Progress
2001-02-09,3333.96,2965.1639999999998,618.77,Proj5,Category2,On - hold
2001-02-12,1848.08,2489.66,641.58,Proj6,Category2,On - hold
2001-02-13,4718.825,4127.124,540.19,Proj9,Category3,Completed
2001-02-14,1968.28,2491.4,523.12,Proj7,Category3,On - hold
2001-02-15,1905.7,2552.91,647.21,Proj2,Category1,In - Progress
2001-02-16,1760.24,2425.38,665.14,Proj2,Category1,In - Progress
2001-02-20,1716.08,2318.35,602.27,Proj2,Category1,In - Progress
2001-02-21,1616.23,2268.94,652.71,Proj3,Category1,In - Progress
2001-02-22,3904.0750000000003,3816.432,683.33,Proj9,Category3,Completed
2001-02-23,1753.15,2262.51,509.36,Proj2,Category1,In - Progress
2001-02-26,1793.64,2308.5,514.86,Proj4,Category2,In - Progress
2001-02-27,1514.36,2207.82,693.46,Proj8,Category3,Completed
2001-02-28,1675.88,2151.83,475.95,Proj2,Category1,In - Progress
2001-03-01,2985.894,2620.044,524.54,Proj5,Category2,On - hold
2001-03-02,1729.67,2117.63,387.96,Proj1,Category1,In - Progress
2001-03-05,1617.68,2142.92,525.24,Proj1,Category1,In - Progress
2001-03-06,1659.86,2204.43,544.57,Proj1,Category1,In - Progress
2001-03-07,1823.43,2223.92,400.49,Proj6,Category2,On - hold
2001-03-08,1529.93,2168.73,638.8,Proj6,Category2,On - hold
2001-03-09,2633.7960000000003,2463.3360000000002,589.56,Proj5,Category2,On - hold
2001-03-12,1353.6,1923.38,569.78,Proj2,Category1,In - Progress
2001-03-13,1591.07,2014.78,423.71,Proj1,Category1,In - Progress
2001-03-14,1544.16,1972.09,427.93,Proj6,Category2,On - hold
2001-03-15,1369.36,1940.71,571.35,Proj6,Category2,On - hold
2001-03-16,1474.17,1890.91,416.74,Proj8,Category3,Completed
2001-03-19,1515.01,1951.18,436.17,Proj2,Category1,In - Progress
2001-03-20,1519.04,1857.44,338.4,Proj7,Category3,On - hold
2001-03-21,3528.55,3111.391,418.81,Proj9,Category3,Completed
2001-03-22,1335.95,1897.7,561.75,Proj2,Category1,In - Progress
2001-03-23,2702.61,2314.416,427.23,Proj5,Category2,On - hold
2001-03-26,3530.2999999999997,3261.433,506.37,Proj9,Category3,Completed
2001-03-27,1524.64,1972.23,447.59,Proj2,Category1,In - Progress
2001-03-28,2808.504,2224.956,293.85,Proj5,Category2,On - hold
2001-03-29,1473.12,1820.57,347.45,Proj7,Category3,On - hold
2001-03-30,1465.9,1840.26,374.36,Proj7,Category3,On - hold
2001-04-02,1528.67,1782.97,254.3,Proj3,Category1,In - Progress
2001-04-03,3291.125,2844.1,356.55,Proj9,Category3,Completed
2001-04-04,3165.2999999999997,2785.96,372.68,Proj9,Category3,Completed
2001-04-05,2382.912,2142.0,461.16,Proj5,Category2,On - hold
2001-04-06,1255.39,1720.36,464.97,Proj8,Category3,Completed
2001-04-09,1341.24,1745.71,404.47,Proj1,Category1,In - Progress
2001-04-10,1344.06,1852.03,507.97,Proj1,Category1,In - Progress
2001-04-11,2524.4280000000003,2278.74,496.49,Proj5,Category2,On - hold
2001-04-12,1445.79,1961.43,515.64,Proj1,Category1,In - Progress
2001-04-16,1448.03,1909.57,461.54,Proj7,Category3,On - hold
2001-04-17,1436.26,1923.22,486.96,Proj4,Category2,In - Progress
2001-04-18,1561.99,2079.44,517.45,Proj4,Category2,In - Progress
2001-04-19,1823.2,2182.14,358.94,Proj6,Category2,On - hold
2001-04-20,1688.43,2163.41,474.98,Proj1,Category1,In - Progress
2001-04-23,1317.73,2059.32,741.59,Proj8,Category3,Completed
2001-04-24,1315.0,2016.61,701.61,Proj1,Category1,In - Progress
2001-04-25,1613.19,2059.8,446.61,Proj8,Category3,Completed
2001-04-26,1447.72,2034.88,587.16,Proj4,Category2,In - Progress
2001-04-27,1528.35,2075.68,547.33,Proj4,Category2,In - Progress
2001-04-30,1435.49,2116.24,680.75,Proj8,Category3,Completed
2001-05-01,1538.89,2168.24,629.35,Proj7,Category3,On - hold
2001-05-02,2787.3360000000002,2664.72,672.08,Proj5,Category2,On - hold
2001-05-03,1631.59,2146.2,514.61,Proj7,Category3,On - hold
2001-05-04,1659.89,2191.53,531.64,Proj1,Category1,In - Progress
2001-05-07,1606.57,2173.57,567.0,Proj4,Category2,In - Progress
2001-05-08,1732.95,2198.77,465.82,Proj8,Category3,Completed
2001-05-09,1684.34,2156.63,472.29,Proj1,Category1,In - Progress
2001-05-10,1652.23,2128.86,476.63,Proj1,Category1,In - Progress
2001-05-11,1439.29,2107.43,668.14,Proj2,Category1,In - Progress
2001-05-14,1466.84,2081.92,615.08,Proj7,Category3,On - hold
2001-05-15,1608.81,2085.58,476.77,Proj4,Category2,In - Progress
2001-05-16,1666.29,2166.44,500.15,Proj6,Category2,On - hold
2001-05-17,1926.71,2193.68,266.97,Proj6,Category2,On - hold
2001-05-18,1782.18,2198.88,416.7,Proj3,Category1,In - Progress
2001-05-21,4415.5,3919.503,539.39,Proj9,Category3,Completed
2001-05-22,1820.78,2313.85,493.07,Proj7,Category3,On - hold
2001-05-23,1669.73,2243.48,573.75,Proj8,Category3,Completed
2001-05-24,1678.11,2282.02,603.91,Proj1,Category1,In - Progress
2001-05-25,1510.4,2251.03,740.63,Proj4,Category2,In - Progress
2001-05-29,1721.53,2175.54,454.01,Proj4,Category2,In - Progress
2001-05-30,1490.64,2084.5,593.86,Proj8,Category3,Completed
2001-05-31,1590.56,2110.49,519.93,Proj4,Category2,In - Progress
2001-06-01,1721.89,2149.44,427.55,Proj2,Category1,In - Progress
2001-06-04,1631.8,2155.93,524.13,Proj8,Category3,Completed
2001-06-05,1678.11,2233.66,555.55,Proj7,Category3,On - hold
2001-06-06,1732.01,2217.73,485.72,Proj7,Category3,On - hold
2001-06-07,1582.54,2264.0,681.46,Proj1,Category1,In - Progress
2001-06-08,1587.98,2215.1,627.12,Proj6,Category2,On - hold
2001-06-11,1599.56,2170.78,571.22,Proj6,Category2,On - hold
2001-06-12,1579.25,2169.95,590.7,Proj6,Category2,On - hold
2001-06-13,1441.47,2121.66,680.19,Proj1,Category1,In - Progress
2001-06-14,3550.8999999999996,3474.919,623.71,Proj9,Category3,Completed
2001-06-15,1398.57,2028.43,629.86,Proj7,Category3,On - hold
2001-06-18,1321.56,1988.63,667.07,Proj1,Category1,In - Progress
2001-06-19,1509.29,1992.66,483.37,Proj4,Category2,In - Progress
2001-06-20,1692.0,2031.24,339.24,Proj4,Category2,In - Progress
2001-06-21,4087.5,3499.8920000000003,423.76,Proj9,Category3,Completed
2001-06-22,1431.44,2034.84,603.4,Proj1,Category1,In - Progress
2001-06-25,3697.475,3486.479,571.88,Proj9,Category3,Completed
2001-06-26,1485.71,2064.62,578.91,Proj6,Category2,On - hold
2001-06-27,1642.76,2074.74,431.98,Proj6,Category2,On - hold
2001-06-28,1649.17,2125.46,476.29,Proj7,Category3,On - hold
2001-06-29,3092.8140000000003,2592.6479999999997,442.31,Proj5,Category2,On - hold
2001-07-02,1585.94,2148.72,562.78,Proj3,Category1,In - Progress
2001-07-03,1592.51,2140.8,548.29,Proj8,Category3,Completed
2001-07-05,1460.82,2080.11,619.29,Proj6,Category2,On - hold
2001-07-06,2570.112,2404.992,576.32,Proj5,Category2,On - hold
2001-07-09,1499.33,2026.71,527.38,Proj4,Category2,In - Progress
2001-07-10,4013.625,3336.743,357.34,Proj9,Category3,Completed
2001-07-11,1461.53,1972.04,510.51,Proj6,Category2,On - hold
2001-07-12,3770.2,3528.7579999999994,567.66,Proj9,Category3,Completed
2001-07-13,1530.61,2084.79,554.18,Proj8,Category3,Completed
2001-07-16,1307.74,2029.12,721.38,Proj6,Category2,On - hold
2001-07-17,1440.89,2067.32,626.43,Proj7,Category3,On - hold
