date,cost_of_sales,selling_price,net_profit,project_name
2000-03-20,9116.125,7837.0,963.55,Proj9
2000-03-21,3670.23,4711.68,1041.45,Proj3
2000-03-22,3688.6,4864.75,1176.15,Proj4
2000-03-23,8836.775,8399.036999999998,1405.9,Proj9
2000-03-24,3674.22,4963.03,1288.81,Proj6
2000-03-27,6855.264,5950.272,1150.08,Proj5
2000-03-28,3776.55,4833.89,1057.34,Proj8
2000-03-29,3568.03,4644.67,1076.64,Proj7
2000-03-30,3482.83,4457.89,975.06,Proj3
2000-03-31,3277.58,4572.83,1295.25,Proj3
2000-04-03,3211.74,4223.68,1011.95,Proj3
2000-04-04,3122.29,4148.89,1026.6,Proj4
2000-04-05,2994.86,4169.22,1174.36,Proj8
2000-04-06,8286.1,7254.852000000001,953.12,Proj9
2000-04-07,5962.896,5335.74,1133.73,Proj5
2000-04-10,3199.22,4188.2,988.98,Proj8
2000-04-11,3011.34,4055.9,1044.56,Proj4
2000-04-12,2853.37,3769.63,916.26,Proj8
2000-04-13,2742.77,3676.78,934.01,Proj1
2000-04-14,2398.0,3321.29,923.29,Proj7
2000-04-17,6598.125,6016.571999999999,899.91,Proj9
2000-04-18,2774.18,3793.57,1019.39,Proj2
2000-04-19,2811.49,3706.41,894.92,Proj7
2000-04-20,2821.14,3643.88,822.74,Proj6
2000-04-24,2550.94,3482.48,931.54,Proj2
2000-04-25,2826.13,3711.23,885.1,Proj4
2000-04-26,4951.476000000001,4356.108,879.27,Proj5
2000-04-27,2804.84,3774.03,969.19,Proj6
2000-04-28,2712.42,3860.66,1148.24,Proj4
2000-05-01,5672.5560000000005,4749.696,806.66,Proj5
2000-05-02,2744.3,3785.45,1041.15,Proj3
2000-05-03,5176.476000000001,4448.772,831.49,Proj5
2000-05-04,7084.95,6324.407999999999,886.26,Proj9
2000-05-05,2906.07,3816.82,910.75,Proj7
2000-05-08,2807.96,3669.38,861.42,Proj7
2000-05-09,2721.68,3585.01,863.33,Proj3
2000-05-10,2696.06,3384.73,688.67,Proj2
2000-05-11,2530.55,3499.58,969.03,Proj1
2000-05-12,2419.67,3529.06,1109.39,Proj3
2000-05-15,2533.98,3607.65,1073.67,Proj7
2000-05-16,2938.96,3717.57,778.61,Proj4
2000-05-17,2625.87,3644.96,1019.09,Proj3
2000-05-18,2681.98,3538.71,856.73,Proj4
2000-05-19,2651.05,3390.4,739.35,Proj6
2000-05-22,2616.34,3364.21,747.87,Proj3
2000-05-23,2407.35,3164.55,757.2,Proj7
2000-05-24,2368.53,3270.61,902.08,Proj3
2000-05-25,2353.89,3205.35,851.46,Proj3
2000-05-26,2409.48,3205.11,795.63,Proj1
2000-05-30,2528.15,3459.48,931.33,Proj1
2000-05-31,2443.88,3400.91,957.03,Proj2
2000-06-01,2663.65,3582.5,918.85,Proj2
2000-06-02,2900.27,3813.38,913.11,Proj7
2000-06-05,2844.14,3821.76,977.62,Proj4
2000-06-06,2893.63,3756.37,862.74,Proj2
2000-06-07,3073.52,3839.26,765.74,Proj2
2000-06-08,3057.05,3825.56,768.51,Proj1
2000-06-09,2877.83,3874.84,997.02,Proj8
2000-06-12,2869.3,3767.91,898.61,Proj7
2000-06-13,2631.65,3851.06,1219.41,Proj2
2000-06-14,2847.5,3797.41,949.91,Proj4
2000-06-15,2984.0,3845.74,861.74,Proj1
2000-06-16,2902.51,3860.56,958.05,Proj3
2000-06-19,2848.08,3989.83,1141.75,Proj2
2000-06-20,2711.85,4013.36,1301.51,Proj4
2000-06-21,7397.424999999999,6908.817,1105.04,Proj9
2000-06-22,2852.76,3936.84,1084.08,Proj3
2000-06-23,2862.77,3845.34,982.57,Proj6
2000-06-26,3209.82,3912.12,702.3,Proj7
2000-06-27,2695.3,3858.96,1163.66,Proj8
2000-06-28,3076.57,3940.34,863.77,Proj2
2000-06-29,2815.09,3877.23,1062.14,Proj3
2000-06-30,3049.28,3966.11,916.83,Proj6
2000-07-03,2813.05,3991.93,1178.88,Proj2
2000-07-05,2982.25,3863.1,880.85,Proj8
2000-07-06,2804.78,3960.57,1155.79,Proj2
2000-07-07,5438.268000000001,4827.839999999999,1001.94,Proj5
2000-07-10,7456.849999999999,6766.4929999999995,997.55,Proj9
2000-07-11,2867.41,3956.42,1089.01,Proj8
2000-07-12,3004.09,4099.59,1095.5,Proj8
2000-07-13,3262.47,4174.86,912.39,Proj4
2000-07-14,3262.99,4246.18,983.19,Proj8
2000-07-17,3112.98,4274.67,1161.69,Proj3
2000-07-18,3065.56,4177.17,1111.61,Proj4
2000-07-19,5310.162,4866.756,1105.54,Proj5
2000-07-20,7891.15,7113.752,1028.1,Proj9
2000-07-21,5369.346,4913.339999999999,1111.48,Proj5
2000-07-24,3031.7,3981.57,949.87,Proj3
2000-07-25,2995.21,4029.57,1034.36,Proj7
2000-07-26,3090.41,3987.72,897.31,Proj2
2000-07-27,6866.875,6531.791,1095.48,Proj9
2000-07-28,2659.7,3663.0,1003.3,Proj4
2000-07-31,2901.21,3766.99,865.78,Proj6
2000-08-01,2564.97,3685.52,1120.55,Proj3
2000-08-02,2731.35,3658.46,927.11,Proj7
2000-08-03,2778.18,3759.88,981.7,Proj7
2000-08-04,2877.39,3787.36,909.97,Proj8
2000-08-07,5524.254000000001,4635.588,793.96,Proj5
2000-08-08,2745.94,3848.55,1102.61,Proj2
2000-08-09,3008.74,3853.5,844.76,Proj8
2000-08-10,2855.6,3759.99,904.39,Proj7
2000-08-11,2852.36,3789.47,937.11,Proj3
2000-08-14,2932.58,3849.69,917.11,Proj2
2000-08-15,2992.93,3851.66,858.73,Proj4
2000-08-16,3037.54,3861.2,823.66,Proj4
2000-08-17,2978.99,3940.87,961.89,Proj2
2000-08-18,2772.09,3930.34,1158.25,Proj1
2000-08-21,3112.37,3953.15,840.78,Proj4
2000-08-22,5592.798000000001,4749.852,851.1,Proj5
2000-08-23,3034.82,4011.01,976.19,Proj4
2000-08-24,5505.570000000001,4863.936,994.63,Proj5
2000-08-25,3029.97,4042.68,1012.71,Proj1
2000-08-28,8025.650000000001,6920.003,860.33,Proj9
2000-08-29,3036.97,4082.17,1045.2,Proj4
2000-08-30,2933.54,4103.81,1170.27,Proj7
2000-08-31,3288.84,4206.35,917.51,Proj6
2000-09-01,3306.38,4234.33,927.95,Proj2
2000-09-05,3219.41,4143.18,923.77,Proj7
2000-09-06,3090.08,4013.34,923.26,Proj6
2000-09-07,3093.2,4098.35,1005.15,Proj8
2000-09-08,3065.08,3978.41,913.33,Proj7
2000-09-11,5439.150000000001,4675.62,874.6,Proj5
2000-09-12,2835.15,3849.51,1014.36,Proj1
2000-09-13,5167.26,4672.668,1023.19,Proj5
2000-09-14,2994.95,3913.86,918.91,Proj6
2000-09-15,2913.28,3835.23,921.95,Proj4
2000-09-18,2617.4,3726.52,1109.12,Proj3
2000-09-19,2950.19,3865.64,915.45,Proj2
2000-09-20,2848.48,3897.44,1048.96,Proj6
2000-09-21,5486.58,4594.643999999999,780.77,Proj5
2000-09-22,3029.54,3803.76,774.22,Proj4
2000-09-25,2862.53,3741.22,878.69,Proj4
2000-09-26,2781.0,3689.1,908.1,Proj3
2000-09-27,2841.8,3656.3,814.5,Proj4
2000-09-28,5033.088,4533.984,982.16,Proj5
2000-09-29,2771.76,3672.82,901.06,Proj8
2000-10-02,2600.58,3568.9,968.32,Proj4
2000-10-03,2573.81,3455.83,882.02,Proj3
2000-10-04,2764.09,3523.1,759.01,Proj8
2000-10-05,2623.31,3472.1,848.79,Proj2
2000-10-06,2407.87,3361.01,953.14,Proj3
2000-10-09,6101.525000000001,5704.451999999999,914.95,Proj9
2000-10-10,2402.65,3240.54,837.89,Proj8
2000-10-11,5833.225,5386.432999999999,835.2,Proj9
2000-10-12,2352.11,3074.68,722.57,Proj4
2000-10-13,6587.200000000001,5638.509,681.89,Proj9
2000-10-16,2270.42,3290.28,1019.86,Proj6
2000-10-17,2526.56,3213.96,687.4,Proj3
2000-10-18,4442.778,3805.872,703.35,Proj5
2000-10-19,4438.566,4102.32,952.73,Proj5
2000-10-20,2479.31,3483.14,1003.83,Proj2
2000-10-23,6564.700000000001,5896.773,842.81,Proj9
2000-10-24,2520.29,3419.79,899.5,Proj7
2000-10-25,2249.73,3229.57,979.84,Proj1
2000-10-26,2427.82,3272.18,844.36,Proj3
2000-10-27,2414.31,3278.36,864.05,Proj3
2000-10-30,2469.71,3191.4,721.69,Proj2
2000-10-31,2470.26,3369.63,899.37,Proj3
2000-11-01,2580.99,3333.39,752.4,Proj7
2000-11-02,6521.575000000001,5829.334,820.39,Proj9
2000-11-03,2640.23,3451.58,811.35,Proj7
2000-11-06,4603.518000000001,4099.452,858.7,Proj5
2000-11-07,2650.6,3415.79,765.19,Proj3
2000-11-08,4722.732,3878.0399999999995,607.96,Proj5
2000-11-09,2574.67,3200.35,625.68,Proj4
2000-11-10,2244.77,3028.99,784.22,Proj3
2000-11-13,2378.52,2966.72,588.2,Proj2
2000-11-14,2158.18,3138.27,980.09,Proj3
2000-11-15,2451.01,3165.49,714.48,Proj3
2000-11-16,4121.694,3638.256,742.05,Proj5
2000-11-17,2388.9,3027.19,638.29,Proj4
2000-11-20,3999.5280000000002,3450.7679999999996,653.68,Proj5
2000-11-21,2111.14,2871.45,760.31,Proj8
2000-11-22,2109.5,2755.34,645.84,Proj4
2000-11-24,2274.33,2904.38,630.05,Proj3
2000-11-27,2272.38,2880.49,608.11,Proj2
2000-11-28,1907.46,2734.98,827.52,Proj4
2000-11-29,2062.38,2706.93,644.55,Proj4
2000-11-30,3701.736,3117.5159999999996,541.41,Proj5
2000-12-01,2091.49,2645.29,553.8,Proj7
2000-12-04,2028.91,2615.75,586.84,Proj1
2000-12-05,2036.4,2889.8,853.4,Proj8
2000-12-06,2041.7,2796.5,754.8,Proj7
2000-12-07,3783.708,3303.1919999999996,650.59,Proj5
2000-12-08,2072.97,2917.43,844.46,Proj1
2000-12-11,2280.45,3015.1,734.65,Proj3
2000-12-12,2103.22,2931.77,828.55,Proj3
2000-12-13,3969.5040000000004,3387.324,617.49,Proj5
2000-12-14,2146.2,2728.51,582.31,Proj2
2000-12-15,1822.14,2653.27,831.13,Proj6
2000-12-18,1843.56,2624.52,780.96,Proj3
2000-12-19,1858.87,2511.71,652.84,Proj3
2000-12-20,1809.73,2332.78,523.05,Proj1
2000-12-21,1754.4,2340.12,585.72,Proj4
2000-12-22,1986.2,2517.02,530.82,Proj2
2000-12-26,1905.8,2493.52,587.72,Proj3
2000-12-27,4652.225,4316.8949999999995,678.46,Proj9
2000-12-28,1946.03,2557.76,611.73,Proj4
2000-12-29,1741.69,2470.52,728.83,Proj7
2001-01-02,1627.55,2291.86,664.31,Proj1
2001-01-03,1971.3,2616.69,645.39,Proj7
2001-01-04,3232.818,3080.196,770.82,Proj5
2001-01-05,1968.67,2407.65,438.98,Proj7
2001-01-08,1809.0,2395.92,586.92,Proj2
2001-01-09,1812.11,2441.3,629.19,Proj8
2001-01-10,1881.38,2524.18,642.8,Proj4
2001-01-11,2011.52,2640.57,629.05,Proj3
2001-01-12,2016.87,2626.5,609.63,Proj6
2001-01-16,1896.28,2618.55,722.27,Proj6
2001-01-17,2112.4,2682.78,570.38,Proj1
2001-01-18,2147.74,2768.49,620.75,Proj6
2001-01-19,2104.53,2770.38,665.85,Proj3
2001-01-22,2007.17,2757.91,750.74,Proj6
2001-01-23,2178.43,2840.39,661.96,Proj3
2001-01-24,2079.82,2859.15,779.33,Proj1
2001-01-25,2179.6,2754.28,574.68,Proj4
2001-01-26,3857.4900000000002,3337.56,638.25,Proj5
2001-01-29,2323.08,2838.34,515.26,Proj2
2001-01-30,4043.124,3406.02,592.17,Proj5
2001-01-31,2067.59,2772.73,705.14,Proj6
2001-02-01,1904.84,2782.79,877.95,Proj7
2001-02-02,2098.33,2660.5,562.17,Proj8
2001-02-05,2094.31,2643.21,548.9,Proj4
2001-02-06,1898.19,2664.49,766.3,Proj6
2001-02-07,4755.825,4433.294,705.49,Proj9
2001-02-08,1936.15,2562.06,625.91,Proj2
2001-02-09,1834.03,2470.97,636.94,Proj7
2001-02-12,1964.71,2489.66,524.95,Proj6
2001-02-13,1873.17,2427.72,554.55,Proj8
2001-02-14,1846.27,2491.4,645.13,Proj7
2001-02-15,1746.66,2552.91,806.25,Proj1
2001-02-16,1894.24,2425.38,531.14,Proj3
2001-02-20,1899.39,2318.35,418.96,Proj6
2001-02-21,3954.625,3857.198,687.09,Proj9
2001-02-22,2934.594,2693.9519999999998,614.63,Proj5
2001-02-23,1589.71,2262.51,672.8,Proj7
2001-02-26,1738.06,2308.5,570.44,Proj8
2001-02-27,1754.77,2207.82,453.05,Proj1
2001-02-28,1738.81,2151.83,413.02,Proj6
2001-03-01,4293.2,3711.729,466.09,Proj9
2001-03-02,1481.32,2117.63,636.31,Proj8
2001-03-05,1652.39,2142.92,490.53,Proj3
2001-03-06,1618.87,2204.43,585.56,Proj3
2001-03-07,1700.14,2223.92,523.78,Proj3
2001-03-08,1619.0,2168.73,549.73,Proj2
2001-03-09,1620.3,2052.78,432.48,Proj3
2001-03-12,1430.59,1923.38,492.79,Proj3
2001-03-13,1332.78,2014.78,682.0,Proj4
2001-03-14,3700.125,3352.553,492.04,Proj9
2001-03-15,2769.0840000000003,2328.852,402.33,Proj5
2001-03-16,1440.1,1890.91,450.81,Proj4
2001-03-19,3757.1499999999996,3317.006,448.32,Proj9
2001-03-20,1351.64,1857.44,505.8,Proj7
2001-03-21,1361.75,1830.23,468.48,Proj3
2001-03-22,1452.92,1897.7,444.78,Proj4
2001-03-23,1517.45,1928.68,411.23,Proj3
2001-03-26,1375.33,1918.49,543.16,Proj1
2001-03-27,2769.264,2366.676,433.75,Proj5
2001-03-28,3538.2749999999996,3152.021,438.82,Proj9
2001-03-29,1269.55,1820.57,551.02,Proj6
2001-03-30,1560.96,1840.26,279.3,Proj4
2001-04-02,2214.18,2139.564,552.87,Proj5
2001-04-03,1385.83,1673.0,287.17,Proj1
2001-04-04,1373.5,1638.8,265.3,Proj6
2001-04-05,2422.44,2142.0,439.2,Proj5
2001-04-06,1323.18,1720.36,397.18,Proj4
2001-04-09,2053.494,2094.852,604.88,Proj5
2001-04-10,1324.97,1852.03,527.06,Proj8
2001-04-11,1521.86,1898.95,377.09,Proj2
2001-04-12,1436.43,1961.43,525.0,Proj3
2001-04-16,2474.982,2291.484,534.58,Proj5
2001-04-17,1547.49,1923.22,375.73,Proj1
2001-04-18,1458.92,2079.44,620.52,Proj1
2001-04-19,1532.46,2182.14,649.68,Proj2
2001-04-20,1572.18,2163.41,591.23,Proj3
2001-04-23,1425.25,2059.32,634.07,Proj2
2001-04-24,1704.71,2016.61,311.9,Proj1
2001-04-25,1458.91,2059.8,600.89,Proj6
2001-04-26,3607.45,3459.2960000000003,591.9,Proj9
2001-04-27,3743.8,3528.6559999999995,578.16,Proj9
2001-04-30,1633.63,2116.24,482.61,Proj2
2001-05-01,1605.7,2168.24,562.54,Proj6
2001-05-02,1760.06,2220.6,460.54,Proj3
2001-05-03,3839.0,3648.5399999999995,610.6,Proj9
2001-05-04,1778.65,2191.53,412.88,Proj7
2001-05-07,1626.49,2173.57,547.08,Proj8
2001-05-08,1644.16,2198.77,554.61,Proj8
2001-05-09,1683.7,2156.63,472.93,Proj2
2001-05-10,1578.28,2128.86,550.58,Proj2
2001-05-11,1492.98,2107.43,614.45,Proj3
2001-05-14,1433.87,2081.92,648.05,Proj6
2001-05-15,1641.79,2085.58,443.79,Proj7
2001-05-16,1536.07,2166.44,630.37,Proj7
2001-05-17,2726.5860000000002,2632.4159999999997,678.91,Proj5
2001-05-18,1614.02,2198.88,584.86,Proj1
2001-05-21,1621.6,2305.59,683.99,Proj8
2001-05-22,2993.724,2776.62,650.67,Proj5
2001-05-23,4330.2,3813.9159999999997,511.4,Proj9
2001-05-24,1672.43,2282.02,609.59,Proj3
2001-05-25,1773.96,2251.03,477.07,Proj7
2001-05-29,1590.26,2175.54,585.28,Proj8
2001-05-30,1619.81,2084.5,464.69,Proj7
2001-05-31,1525.2,2110.49,585.29,Proj1
2001-06-01,1463.25,2149.44,686.19,Proj1
2001-06-04,1593.1,2155.93,562.83,Proj4
2001-06-05,1709.98,2233.66,523.68,Proj6
2001-06-06,1566.26,2217.73,651.47,Proj3
2001-06-07,1621.99,2264.0,642.01,Proj1
2001-06-08,1637.57,2215.1,577.53,Proj3
2001-06-11,1557.54,2170.78,613.24,Proj2
2001-06-12,1630.54,2169.95,539.41,Proj6
2001-06-13,4243.925,3606.8219999999997,424.09,Proj9
2001-06-14,1550.35,2044.07,493.72,Proj8
2001-06-15,1563.21,2028.43,465.22,Proj8
2001-06-18,1455.5,1988.63,533.13,Proj6
2001-06-19,1576.13,1992.66,416.53,Proj6
2001-06-20,1570.58,2031.24,460.66,Proj4
2001-06-21,4034.25,3499.8920000000003,445.06,Proj9
2001-06-22,1563.47,2034.84,471.37,Proj4
2001-06-25,1595.99,2050.87,454.88,Proj4
2001-06-26,2627.55,2477.544,604.87,Proj5
2001-06-27,1550.53,2074.74,524.21,Proj4
2001-06-28,1503.63,2125.46,621.83,Proj6
2001-06-29,4458.5,3672.9179999999997,377.14,Proj9
2001-07-02,4097.525,3652.8239999999996,509.71,Proj9
2001-07-03,3999.5249999999996,3639.36,540.99,Proj9
2001-07-05,1683.73,2080.11,396.38,Proj6
2001-07-06,1527.08,2004.16,477.08,Proj8
2001-07-09,1512.88,2026.71,513.83,Proj2
2001-07-10,1507.44,1962.79,455.35,Proj2
2001-07-11,1436.34,1972.04,535.7,Proj8
2001-07-12,1555.27,2075.74,520.47,Proj1
2001-07-13,1501.4,2084.79,583.39,Proj7
2001-07-16,1327.04,2029.12,702.08,Proj8
2001-07-17,1488.39,2067.32,578.93,Proj7
2001-07-18,1423.1,2016.17,593.07,Proj4
2001-07-19,1395.49,2046.59,651.1,Proj2
2001-07-20,1555.25,2029.37,474.12,Proj8
2001-07-23,1484.3,1988.56,504.26,Proj6
2001-07-24,1424.88,1959.24,534.36,Proj1
2001-07-25,1506.33,1984.32,477.99,Proj3
2001-07-26,3561.45,3439.032,598.38,Proj9
2001-07-27,1501.03,2029.07,528.04,Proj4
2001-07-30,1502.68,2017.84,515.16,Proj4
2001-07-31,1609.36,2027.13,417.77,Proj4
2001-08-01,3671.125,3516.246,599.93,Proj9
2001-08-02,2757.636,2504.856,555.36,Proj5
2001-08-03,1458.46,2066.33,607.87,Proj8
2001-08-06,1648.54,2034.26,385.72,Proj6
2001-08-07,4195.65,3447.243,349.53,Proj9
2001-08-08,1632.38,1966.36,333.98,Proj6
2001-08-09,1465.61,1963.32,497.71,Proj1
2001-08-10,1560.66,1956.47,395.81,Proj1
2001-08-13,1343.88,1982.25,638.37,Proj7
2001-08-14,1359.17,1964.53,605.36,Proj8
2001-08-15,1486.41,1918.89,432.48,Proj1
2001-08-16,1435.16,1930.32,495.16,Proj7
2001-08-17,3782.525,3173.917,354.0,Proj9
2001-08-20,2988.1259999999997,2257.62,221.28,Proj5
2001-08-21,1464.53,1831.3,366.77,Proj3
2001-08-22,1509.68,1860.01,350.33,Proj4
2001-08-23,1485.03,1842.97,357.94,Proj6
2001-08-24,1463.59,1916.8,453.21,Proj3
2001-08-27,1477.49,1912.41,434.92,Proj6
2001-08-28,1363.79,1864.98,501.19,Proj4
2001-08-29,1423.22,1843.17,419.95,Proj8
2001-08-30,1323.47,1791.68,468.21,Proj6
2001-08-31,1235.41,1805.43,570.02,Proj6
2001-09-04,3135.2999999999997,3010.326,516.66,Proj9
2001-09-05,1284.3,1759.01,474.71,Proj1
2001-09-06,1137.41,1705.64,568.23,Proj4
2001-09-07,1102.07,1687.7,585.63,Proj3
2001-09-10,1203.08,1695.38,492.3,Proj7
2001-09-17,1080.59,1579.55,498.96,Proj6
2001-09-18,1347.07,1555.08,208.01,Proj8
2001-09-19,1109.71,1527.8,418.09,Proj1
2001-09-20,1080.67,1470.93,390.26,Proj4
2001-09-21,2614.0249999999996,2419.4230000000002,377.58,Proj9
2001-09-24,1126.0,1499.4,373.4,Proj6
2001-09-25,1123.93,1501.64,377.71,Proj4
2001-09-26,1146.44,1464.04,317.6,Proj3
2001-09-27,954.95,1460.71,505.76,Proj4
2001-09-28,1222.75,1498.8,276.05,Proj1
2001-10-01,1088.09,1480.46,392.37,Proj8
2001-10-02,1114.6,1492.33,377.73,Proj2
2001-10-03,1196.25,1580.81,384.56,Proj2
2001-10-04,1095.28,1597.31,502.03,Proj4
2001-10-05,1199.77,1605.3,405.53,Proj7
2001-10-08,1243.5,1605.95,362.45,Proj7
2001-10-09,1249.53,1570.19,320.66,Proj7
2001-10-10,1211.41,1626.26,414.85,Proj6
2001-10-11,1223.09,1701.47,478.38,Proj8
2001-10-12,1236.82,1703.4,466.58,Proj8
2001-10-15,1091.12,1696.31,605.19,Proj8
2001-10-16,1278.73,1722.07,443.34,Proj4
2001-10-17,1175.01,1646.34,471.33,Proj6
2001-10-18,2232.0,1983.264,412.72,Proj5
2001-10-19,1020.98,1671.31,650.33,Proj2
2001-10-22,2525.328,2049.696,305.12,Proj5
2001-10-23,1055.88,1704.44,648.56,Proj2
2001-10-24,1230.39,1731.54,501.15,Proj7
2001-10-25,1415.71,1775.47,359.76,Proj1
2001-10-26,1285.22,1768.96,483.74,Proj1
2001-10-29,1206.4,1699.52,493.12,Proj4
2001-10-30,1328.51,1667.41,338.9,Proj4
2001-10-31,1341.46,1690.2,348.74,Proj3
2001-11-01,3230.1499999999996,2968.71,454.24,Proj9
2001-11-02,3164.975,2967.741,479.74,Proj9
2001-11-05,1122.31,1793.65,671.34,Proj6
2001-11-06,1292.59,1835.08,542.49,Proj3
2001-11-07,2521.476,2205.036,436.71,Proj5
2001-11-08,1286.07,1827.77,541.7,Proj3
2001-11-09,1486.34,1828.48,342.14,Proj7
2001-11-12,1339.7,1840.13,500.43,Proj7
2001-11-13,1450.02,1892.11,442.09,Proj8
2001-11-14,1478.86,1903.19,424.33,Proj1
2001-11-15,1475.94,1900.57,424.63,Proj1
2001-11-16,1473.29,1898.58,425.29,Proj1
2001-11-19,1359.62,1934.42,574.8,Proj3
2001-11-20,1330.99,1880.51,549.52,Proj4
2001-11-21,2359.188,2250.06,564.39,Proj5
2001-11-23,2534.4,2283.84,495.2,Proj5
2001-11-26,1626.46,1941.23,314.77,Proj4
2001-11-27,1214.54,1935.97,721.43,Proj1
2001-11-28,1474.51,1887.97,413.46,Proj1
2001-11-29,3511.675,3286.542,528.59,Proj9
2001-11-30,1409.03,1930.58,521.55,Proj4
2001-12-03,1443.34,1904.9,461.56,Proj8
2001-12-04,1340.03,1963.1,623.07,Proj6
2001-12-05,1545.21,2046.84,501.63,Proj3
2001-12-06,3687.8500000000004,3492.259,579.13,Proj9
2001-12-07,1627.08,2021.26,394.18,Proj7
2001-12-10,1604.55,1992.12,387.57,Proj4
2001-12-11,1335.89,2001.93,666.04,Proj3
2001-12-12,1522.07,2011.38,489.31,Proj6
2001-12-13,1273.21,1946.51,673.3,Proj4
2001-12-14,1468.27,1953.17,484.9,Proj1
2001-12-17,1385.37,1987.45,602.08,Proj3
2001-12-18,3647.5,3408.092,545.76,Proj9
2001-12-19,1538.97,1982.89,443.92,Proj8
2001-12-20,1448.11,1918.54,470.43,Proj7
2001-12-21,1388.03,1945.83,557.8,Proj6
2001-12-24,1619.78,1944.48,324.7,Proj3
2001-12-26,1362.19,1960.7,598.51,Proj8
2001-12-27,3396.3,3359.914,617.9,Proj9
2001-12-28,1727.26,1987.26,260.0,Proj2
2001-12-31,1450.11,1950.4,500.29,Proj3
2002-01-02,1402.83,1979.25,576.42,Proj7
2002-01-03,1507.26,2044.27,537.01,Proj1
2002-01-04,1403.65,2059.38,655.73,Proj8
2002-01-07,3671.375,3463.0699999999997,568.55,Proj9
2002-01-08,2637.81,2466.8879999999995,590.29,Proj5
2002-01-09,1807.96,2044.89,236.93,Proj4
2002-01-10,2396.034,2456.688,716.11,Proj5
2002-01-11,2838.5280000000002,2426.9519999999998,445.5,Proj5
2002-01-14,1366.5,1990.74,624.24,Proj1
2002-01-15,3965.4500000000003,3401.547,414.73,Proj9
2002-01-16,1517.73,1944.44,426.71,Proj3
2002-01-17,1483.02,1985.82,502.8,Proj4
2002-01-18,2918.556,2316.408,308.92,Proj5
2002-01-22,1272.3,1882.53,610.23,Proj1
2002-01-23,1447.89,1922.38,474.49,Proj7
2002-01-24,1548.16,1942.58,394.42,Proj8
2002-01-25,1637.05,1937.7,300.65,Proj3
2002-01-28,1374.93,1943.91,568.98,Proj3
2002-01-29,1399.26,1892.99,493.73,Proj8
2002-01-30,1330.86,1913.44,582.58,Proj1
2002-01-31,1460.59,1934.03,473.44,Proj1
2002-02-01,1402.63,1911.24,508.61,Proj2
2002-02-04,1325.58,1855.53,529.95,Proj1
