date,cost_of_sales,selling_price,net_profit,project_category,project_name
2000-02-24,3415.53,4617.65,1202.12,Category3,Proj1
2000-02-25,3520.57,4590.5,1069.93,Category2,Proj3
2000-02-28,3573.86,4577.85,1004.0,Category3,Proj10
2000-02-29,3619.6,4696.69,1077.09,Category5,Proj2
2000-03-01,3497.54,4784.08,1286.54,Category5,Proj4
2000-03-02,3629.84,4754.51,1124.67,Category3,Proj7
2000-03-03,3839.89,4914.79,1074.9,Category5,Proj1
2000-03-06,3751.29,4904.85,1153.56,Category3,Proj2
2000-03-07,3686.15,4847.84,1161.69,Category3,Proj1
2000-03-08,3746.69,4897.26,1150.57,Category6,Proj8
2000-03-09,3819.09,5046.86,1227.77,Category2,Proj5
2000-03-10,3781.88,5048.62,1266.74,Category2,Proj8
2000-03-13,3579.48,4907.24,1327.76,Category2,Proj4
2000-03-14,3500.54,4706.63,1206.09,Category4,Proj4
2000-03-15,3494.46,4582.62,1088.16,Category5,Proj1
2000-03-16,3545.92,4717.39,1171.47,Category5,Proj6
2000-03-17,3647.47,4798.13,1150.66,Category3,Proj5
2000-03-20,3407.94,4610.0,1202.06,Category5,Proj5
2000-03-21,3521.46,4711.68,1190.22,Category3,Proj4
2000-03-22,3653.21,4864.75,1211.54,Category1,Proj7
2000-03-23,3816.49,4940.61,1124.12,Category5,Proj8
2000-03-24,3694.17,4963.03,1268.86,Category2,Proj5
2000-03-27,3591.93,4958.56,1366.63,Category6,Proj7
2000-03-28,3904.11,4833.89,929.78,Category4,Proj3
2000-03-29,3620.03,4644.67,1024.64,Category2,Proj1
2000-03-30,3361.18,4457.89,1096.71,Category6,Proj1
2000-03-31,3477.64,4572.83,1095.19,Category3,Proj4
2000-04-03,3260.6,4223.68,963.08,Category2,Proj2
2000-04-04,3006.82,4148.89,1142.07,Category1,Proj2
2000-04-05,3094.1,4169.22,1075.12,Category4,Proj9
2000-04-06,3099.77,4267.56,1167.79,Category5,Proj1
2000-04-07,3333.42,4446.45,1113.03,Category2,Proj1
2000-04-10,3266.99,4188.2,921.21,Category2,Proj4
2000-04-11,2950.85,4055.9,1105.05,Category3,Proj9
2000-04-12,2961.15,3769.63,808.48,Category3,Proj5
2000-04-13,2703.73,3676.78,973.05,Category5,Proj7
2000-04-14,2540.02,3321.29,781.27,Category2,Proj6
2000-04-17,2515.58,3539.16,1023.58,Category6,Proj7
2000-04-18,2899.99,3793.57,893.58,Category6,Proj9
2000-04-19,2679.2,3706.41,1027.21,Category6,Proj7
2000-04-20,2914.23,3643.88,729.65,Category1,Proj8
2000-04-24,2526.7,3482.48,955.78,Category2,Proj2
2000-04-25,2609.83,3711.23,1101.4,Category1,Proj10
2000-04-26,2892.36,3630.09,737.73,Category2,Proj2
2000-04-27,2950.62,3774.03,823.41,Category1,Proj2
2000-04-28,2784.56,3860.66,1076.1,Category5,Proj2
2000-05-01,3091.32,3958.08,866.76,Category1,Proj2
2000-05-02,2819.38,3785.45,966.07,Category4,Proj8
2000-05-03,2781.9,3707.31,925.41,Category6,Proj4
2000-05-04,2771.19,3720.24,949.05,Category2,Proj1
2000-05-05,2881.09,3816.82,935.73,Category6,Proj3
2000-05-08,2683.81,3669.38,985.57,Category4,Proj10
2000-05-09,2722.95,3585.01,862.06,Category4,Proj3
2000-05-10,2421.52,3384.73,963.21,Category3,Proj2
2000-05-11,2644.98,3499.58,854.6,Category3,Proj8
2000-05-12,2681.3,3529.06,847.76,Category3,Proj2
2000-05-15,2795.14,3607.65,812.51,Category4,Proj3
2000-05-16,2907.88,3717.57,809.69,Category4,Proj3
2000-05-17,2797.53,3644.96,847.43,Category5,Proj3
2000-05-18,2642.64,3538.71,896.07,Category1,Proj10
2000-05-19,2549.56,3390.4,840.84,Category3,Proj1
2000-05-22,2430.43,3364.21,933.78,Category2,Proj2
2000-05-23,2492.59,3164.55,671.96,Category6,Proj9
2000-05-24,2608.65,3270.61,661.96,Category1,Proj4
2000-05-25,2585.65,3205.35,619.7,Category1,Proj7
2000-05-26,2412.49,3205.11,792.62,Category3,Proj6
2000-05-30,2438.29,3459.48,1021.19,Category1,Proj8
2000-05-31,2588.79,3400.91,812.12,Category6,Proj2
2000-06-01,2667.91,3582.5,914.59,Category6,Proj2
2000-06-02,2852.88,3813.38,960.5,Category4,Proj10
2000-06-05,2779.48,3821.76,1042.28,Category3,Proj10
2000-06-06,2883.92,3756.37,872.45,Category3,Proj10
2000-06-07,2970.99,3839.26,868.27,Category2,Proj4
2000-06-08,2935.06,3825.56,890.5,Category4,Proj6
2000-06-09,2937.22,3874.84,937.62,Category6,Proj2
2000-06-12,2812.82,3767.91,955.09,Category2,Proj3
2000-06-13,3143.97,3851.06,707.09,Category5,Proj10
2000-06-14,2995.2,3797.41,802.21,Category5,Proj2
2000-06-15,2829.7,3845.74,1016.04,Category4,Proj10
2000-06-16,2996.37,3860.56,864.19,Category4,Proj6
2000-06-19,3092.58,3989.83,897.25,Category3,Proj9
2000-06-20,2831.05,4013.36,1182.31,Category6,Proj4
2000-06-21,3117.16,4064.01,946.85,Category4,Proj6
2000-06-22,3101.89,3936.84,834.95,Category3,Proj2
2000-06-23,2838.07,3845.34,1007.27,Category5,Proj7
2000-06-26,3146.3,3912.12,765.82,Category3,Proj6
2000-06-27,2904.81,3858.96,954.15,Category6,Proj8
2000-06-28,2994.15,3940.34,946.19,Category3,Proj2
2000-06-29,2880.44,3877.23,996.79,Category3,Proj9
2000-06-30,2902.72,3966.11,1063.39,Category6,Proj10
2000-07-03,3090.7,3991.93,901.23,Category5,Proj8
2000-07-05,2916.34,3863.1,946.76,Category4,Proj2
2000-07-06,2965.91,3960.57,994.66,Category4,Proj10
2000-07-07,2857.96,4023.2,1165.24,Category1,Proj8
2000-07-10,3006.93,3980.29,973.36,Category4,Proj3
2000-07-11,3036.55,3956.42,919.87,Category5,Proj9
2000-07-12,3221.24,4099.59,878.35,Category6,Proj7
2000-07-13,3131.51,4174.86,1043.35,Category6,Proj8
2000-07-14,3029.97,4246.18,1216.21,Category2,Proj2
2000-07-17,3254.89,4274.67,1019.78,Category6,Proj10
2000-07-18,3171.83,4177.17,1005.34,Category6,Proj8
2000-07-19,3038.91,4055.63,1016.72,Category6,Proj2
2000-07-20,3167.67,4184.56,1016.89,Category1,Proj6
2000-07-21,3080.0,4094.45,1014.45,Category1,Proj6
2000-07-24,3105.02,3981.57,876.55,Category5,Proj4
2000-07-25,2911.83,4029.57,1117.74,Category5,Proj2
2000-07-26,2921.53,3987.72,1066.19,Category1,Proj3
2000-07-27,2939.03,3842.23,903.2,Category3,Proj2
2000-07-28,2823.97,3663.0,839.03,Category6,Proj6
2000-07-31,2924.92,3766.99,842.07,Category3,Proj5
2000-08-01,2820.35,3685.52,865.17,Category6,Proj8
2000-08-02,2559.3,3658.46,1099.16,Category5,Proj1
2000-08-03,2760.96,3759.88,998.92,Category6,Proj1
2000-08-04,2952.71,3787.36,834.65,Category1,Proj5
2000-08-07,2891.86,3862.99,971.13,Category2,Proj3
2000-08-08,2980.71,3848.55,867.84,Category4,Proj6
2000-08-09,2838.01,3853.5,1015.49,Category1,Proj6
2000-08-10,3059.13,3759.99,700.86,Category1,Proj8
2000-08-11,2931.05,3789.47,858.42,Category4,Proj8
2000-08-14,2973.33,3849.69,876.36,Category3,Proj8
2000-08-15,2984.74,3851.66,866.92,Category3,Proj7
2000-08-16,2881.89,3861.2,979.31,Category3,Proj5
2000-08-17,2969.86,3940.87,971.01,Category6,Proj7
2000-08-18,3154.25,3930.34,776.09,Category1,Proj5
2000-08-21,2945.18,3953.15,1007.97,Category5,Proj3
2000-08-22,2875.77,3958.21,1082.44,Category3,Proj4
2000-08-23,2955.91,4011.01,1055.1,Category4,Proj5
2000-08-24,3279.11,4053.28,774.17,Category4,Proj5
2000-08-25,3080.99,4042.68,961.69,Category5,Proj9
2000-08-28,3062.28,4070.59,1008.31,Category4,Proj9
2000-08-29,3035.14,4082.17,1047.03,Category3,Proj6
2000-08-30,3050.8,4103.81,1053.01,Category3,Proj5
2000-08-31,3099.73,4206.35,1106.62,Category2,Proj2
2000-09-01,3229.89,4234.33,1004.44,Category6,Proj4
2000-09-05,3113.26,4143.18,1029.92,Category5,Proj8
2000-09-06,2862.63,4013.34,1150.71,Category2,Proj7
2000-09-07,3102.97,4098.35,995.38,Category1,Proj3
2000-09-08,3077.81,3978.41,900.6,Category3,Proj9
2000-09-11,2951.03,3896.35,945.32,Category6,Proj1
2000-09-12,2899.55,3849.51,949.96,Category6,Proj2
2000-09-13,2954.53,3893.89,939.36,Category1,Proj4
2000-09-14,3068.73,3913.86,845.13,Category3,Proj3
2000-09-15,2783.26,3835.23,1051.97,Category1,Proj10
2000-09-18,2835.35,3726.52,891.17,Category4,Proj8
2000-09-19,2937.86,3865.64,927.78,Category4,Proj7
2000-09-20,3018.74,3897.44,878.7,Category4,Proj1
2000-09-21,2769.55,3828.87,1059.32,Category2,Proj2
2000-09-22,2650.46,3803.76,1153.3,Category3,Proj5
2000-09-25,2687.45,3741.22,1053.77,Category1,Proj6
2000-09-26,2871.85,3689.1,817.25,Category2,Proj3
2000-09-27,2821.38,3656.3,834.92,Category4,Proj6
2000-09-28,2794.16,3778.32,984.16,Category3,Proj4
2000-09-29,2605.68,3672.82,1067.14,Category2,Proj6
2000-10-02,2584.23,3568.9,984.67,Category4,Proj1
2000-10-03,2634.48,3455.83,821.35,Category1,Proj5
2000-10-04,2646.0,3523.1,877.1,Category4,Proj5
2000-10-05,2542.33,3472.1,929.77,Category4,Proj8
2000-10-06,2564.86,3361.01,796.15,Category6,Proj6
2000-10-09,2626.52,3355.56,729.04,Category5,Proj1
2000-10-10,2368.56,3240.54,871.98,Category4,Proj9
2000-10-11,2355.29,3168.49,813.2,Category1,Proj7
2000-10-12,2400.91,3074.68,673.77,Category4,Proj2
2000-10-13,2509.86,3316.77,806.91,Category1,Proj4
2000-10-16,2480.11,3290.28,810.17,Category4,Proj4
2000-10-17,2468.28,3213.96,745.68,Category3,Proj9
2000-10-18,2293.53,3171.56,878.03,Category4,Proj5
2000-10-19,2657.67,3418.6,760.93,Category1,Proj8
2000-10-20,2788.08,3483.14,695.06,Category6,Proj6
2000-10-23,2380.29,3468.69,1088.4,Category2,Proj3
2000-10-24,2607.58,3419.79,812.21,Category6,Proj1
2000-10-25,2302.76,3229.57,926.81,Category2,Proj5
2000-10-26,2448.41,3272.18,823.77,Category6,Proj4
2000-10-27,2573.34,3278.36,705.02,Category6,Proj4
2000-10-30,2422.8,3191.4,768.6,Category4,Proj10
2000-10-31,2437.29,3369.63,932.34,Category3,Proj4
2000-11-01,2584.73,3333.39,748.66,Category5,Proj10
2000-11-02,2416.05,3429.02,1012.97,Category1,Proj10
2000-11-03,2592.88,3451.58,858.7,Category4,Proj10
2000-11-06,2485.44,3416.21,930.77,Category1,Proj8
2000-11-07,2449.6,3415.79,966.19,Category3,Proj1
2000-11-08,2489.52,3231.7,742.18,Category3,Proj1
2000-11-09,2401.44,3200.35,798.91,Category1,Proj9
2000-11-10,2336.26,3028.99,692.73,Category5,Proj8
2000-11-13,2357.65,2966.72,609.07,Category3,Proj5
2000-11-14,2452.77,3138.27,685.5,Category6,Proj3
2000-11-15,2364.34,3165.49,801.15,Category2,Proj9
2000-11-16,2224.0,3031.88,807.88,Category1,Proj2
2000-11-17,2284.16,3027.19,743.03,Category4,Proj9
2000-11-20,2115.33,2875.64,760.31,Category5,Proj2
2000-11-21,2146.02,2871.45,725.43,Category5,Proj4
2000-11-22,2082.44,2755.34,672.9,Category6,Proj10
2000-11-24,2138.42,2904.38,765.96,Category2,Proj3
2000-11-27,2030.69,2880.49,849.8,Category3,Proj9
2000-11-28,2132.9,2734.98,602.08,Category2,Proj2
2000-11-29,2076.65,2706.93,630.28,Category6,Proj8
2000-11-30,1952.13,2597.93,645.8,Category3,Proj7
2000-12-01,2046.92,2645.29,598.37,Category2,Proj9
2000-12-04,1887.79,2615.75,727.96,Category2,Proj1
2000-12-05,2332.74,2889.8,557.06,Category5,Proj2
2000-12-06,2246.49,2796.5,550.01,Category2,Proj7
2000-12-07,2249.62,2752.66,503.04,Category1,Proj7
2000-12-08,2100.75,2917.43,816.68,Category5,Proj4
2000-12-11,2212.78,3015.1,802.32,Category2,Proj4
2000-12-12,2160.1,2931.77,771.67,Category2,Proj3
2000-12-13,2089.56,2822.77,733.21,Category6,Proj3
2000-12-14,2064.62,2728.51,663.89,Category2,Proj3
2000-12-15,2054.9,2653.27,598.37,Category3,Proj8
2000-12-18,2029.39,2624.52,595.13,Category5,Proj4
2000-12-19,1981.96,2511.71,529.75,Category2,Proj6
2000-12-20,1742.13,2332.78,590.65,Category4,Proj6
2000-12-21,1865.83,2340.12,474.29,Category3,Proj6
2000-12-22,1851.5,2517.02,665.52,Category1,Proj10
2000-12-26,1709.64,2493.52,783.88,Category6,Proj9
2000-12-27,2004.36,2539.35,534.99,Category5,Proj4
2000-12-28,1900.32,2557.76,657.44,Category6,Proj7
2000-12-29,1795.43,2470.52,675.09,Category1,Proj4
2001-01-02,1856.59,2291.86,435.27,Category4,Proj7
2001-01-03,1963.47,2616.69,653.22,Category5,Proj5
2001-01-04,1854.71,2566.83,712.12,Category5,Proj1
2001-01-05,1881.35,2407.65,526.3,Category1,Proj10
2001-01-08,1852.27,2395.92,543.65,Category3,Proj3
2001-01-09,1874.86,2441.3,566.44,Category2,Proj10
2001-01-10,1900.3,2524.18,623.88,Category3,Proj2
2001-01-11,2136.96,2640.57,503.61,Category2,Proj1
2001-01-12,1913.27,2626.5,713.23,Category3,Proj6
2001-01-16,2172.96,2618.55,445.59,Category6,Proj3
2001-01-17,1894.8,2682.78,787.98,Category3,Proj9
2001-01-18,2159.33,2768.49,609.16,Category4,Proj5
2001-01-19,2112.29,2770.38,658.09,Category3,Proj2
2001-01-22,2263.09,2757.91,494.82,Category4,Proj5
2001-01-23,2092.01,2840.39,748.38,Category5,Proj7
2001-01-24,2047.01,2859.15,812.14,Category4,Proj9
2001-01-25,1996.05,2754.28,758.23,Category5,Proj9
2001-01-26,2167.53,2781.3,613.77,Category6,Proj4
2001-01-29,1954.26,2838.34,884.08,Category1,Proj3
2001-01-30,2029.94,2838.35,808.41,Category5,Proj10
2001-01-31,2072.46,2772.73,700.27,Category2,Proj3
2001-02-01,1895.26,2782.79,887.53,Category2,Proj3
2001-02-02,1989.4,2660.5,671.1,Category3,Proj7
2001-02-05,1942.85,2643.21,700.36,Category6,Proj5
2001-02-06,1838.02,2664.49,826.47,Category4,Proj5
2001-02-07,1997.04,2607.82,610.78,Category1,Proj1
2001-02-08,1870.34,2562.06,691.72,Category6,Proj8
2001-02-09,1935.55,2470.97,535.41,Category2,Proj1
2001-02-12,1848.14,2489.66,641.52,Category3,Proj2
2001-02-13,1904.99,2427.72,522.73,Category3,Proj9
2001-02-14,1777.85,2491.4,713.55,Category5,Proj6
2001-02-15,1917.58,2552.91,635.33,Category5,Proj10
2001-02-16,1675.28,2425.38,750.1,Category2,Proj8
2001-02-20,1749.43,2318.35,568.92,Category3,Proj4
2001-02-21,1767.41,2268.94,501.53,Category1,Proj4
2001-02-22,1710.55,2244.96,534.41,Category2,Proj4
2001-02-23,1698.39,2262.51,564.12,Category3,Proj10
2001-02-26,1654.85,2308.5,653.65,Category4,Proj1
2001-02-27,1707.44,2207.82,500.38,Category5,Proj4
2001-02-28,1558.91,2151.83,592.92,Category6,Proj4
2001-03-01,1686.93,2183.37,496.44,Category4,Proj6
2001-03-02,1592.93,2117.63,524.7,Category3,Proj2
2001-03-05,1497.89,2142.92,645.03,Category1,Proj4
2001-03-06,1564.56,2204.43,639.87,Category4,Proj5
2001-03-07,1544.77,2223.92,679.15,Category1,Proj8
2001-03-08,1859.28,2168.73,309.45,Category2,Proj10
2001-03-09,1514.25,2052.78,538.53,Category1,Proj8
2001-03-12,1518.25,1923.38,405.13,Category6,Proj8
2001-03-13,1582.67,2014.78,432.11,Category4,Proj4
2001-03-14,1469.08,1972.09,503.01,Category3,Proj6
2001-03-15,1394.58,1940.71,546.13,Category2,Proj10
2001-03-16,1431.36,1890.91,459.55,Category2,Proj9
2001-03-19,1374.72,1951.18,576.46,Category6,Proj3
2001-03-20,1414.25,1857.44,443.19,Category1,Proj9
2001-03-21,1334.07,1830.23,496.16,Category4,Proj9
2001-03-22,1435.54,1897.7,462.16,Category1,Proj7
2001-03-23,1503.8,1928.68,424.88,Category3,Proj8
2001-03-26,1579.3,1918.49,339.19,Category4,Proj3
2001-03-27,1450.06,1972.23,522.17,Category6,Proj5
2001-03-28,1474.78,1854.13,379.35,Category5,Proj4
2001-03-29,1373.12,1820.57,447.45,Category2,Proj10
2001-03-30,1546.98,1840.26,293.28,Category5,Proj5
2001-04-02,1331.03,1782.97,451.94,Category6,Proj9
2001-04-03,1286.94,1673.0,386.06,Category3,Proj6
2001-04-04,1119.86,1638.8,518.94,Category4,Proj1
2001-04-05,1338.91,1785.0,446.09,Category2,Proj2
2001-04-06,1194.17,1720.36,526.19,Category3,Proj5
2001-04-09,1278.68,1745.71,467.03,Category1,Proj6
2001-04-10,1378.22,1852.03,473.81,Category5,Proj10
2001-04-11,1398.39,1898.95,500.56,Category1,Proj2
2001-04-12,1488.74,1961.43,472.69,Category4,Proj3
2001-04-16,1458.94,1909.57,450.63,Category4,Proj3
2001-04-17,1266.76,1923.22,656.46,Category4,Proj4
2001-04-18,1543.86,2079.44,535.58,Category6,Proj1
2001-04-19,1681.9,2182.14,500.24,Category5,Proj10
2001-04-20,1526.04,2163.41,637.37,Category1,Proj1
2001-04-23,1511.45,2059.32,547.87,Category5,Proj8
2001-04-24,1445.88,2016.61,570.73,Category4,Proj7
2001-04-25,1629.0,2059.8,430.8,Category5,Proj4
2001-04-26,1557.87,2034.88,477.01,Category5,Proj5
2001-04-27,1497.09,2075.68,578.59,Category4,Proj7
2001-04-30,1566.01,2116.24,550.23,Category6,Proj1
2001-05-01,1589.42,2168.24,578.82,Category3,Proj5
2001-05-02,1786.45,2220.6,434.15,Category6,Proj7
2001-05-03,1707.35,2146.2,438.85,Category3,Proj5
2001-05-04,1795.38,2191.53,396.15,Category6,Proj5
2001-05-07,1655.1,2173.57,518.47,Category3,Proj3
2001-05-08,1716.43,2198.77,482.34,Category3,Proj3
2001-05-09,1666.25,2156.63,490.38,Category4,Proj8
2001-05-10,1566.49,2128.86,562.37,Category5,Proj2
2001-05-11,1502.7,2107.43,604.73,Category3,Proj1
2001-05-14,1406.74,2081.92,675.18,Category1,Proj5
2001-05-15,1590.45,2085.58,495.13,Category2,Proj2
2001-05-16,1778.71,2166.44,387.73,Category3,Proj3
2001-05-17,1390.91,2193.68,802.77,Category1,Proj2
2001-05-18,1562.77,2198.88,636.11,Category5,Proj1
2001-05-21,1612.2,2305.59,693.39,Category2,Proj10
2001-05-22,1687.13,2313.85,626.72,Category2,Proj2
2001-05-23,1748.27,2243.48,495.21,Category4,Proj1
2001-05-24,1761.64,2282.02,520.38,Category1,Proj8
2001-05-25,1660.01,2251.03,591.02,Category1,Proj9
2001-05-29,1654.63,2175.54,520.91,Category1,Proj2
2001-05-30,1704.29,2084.5,380.21,Category2,Proj9
2001-05-31,1663.01,2110.49,447.48,Category1,Proj5
2001-06-01,1593.7,2149.44,555.74,Category3,Proj4
2001-06-04,1540.39,2155.93,615.54,Category5,Proj5
2001-06-05,1528.84,2233.66,704.82,Category6,Proj3
2001-06-06,1779.66,2217.73,438.07,Category3,Proj7
2001-06-07,1596.29,2264.0,667.71,Category4,Proj8
2001-06-08,1617.57,2215.1,597.53,Category2,Proj9
2001-06-11,1568.69,2170.78,602.09,Category3,Proj5
2001-06-12,1698.49,2169.95,471.46,Category5,Proj7
2001-06-13,1602.21,2121.66,519.45,Category2,Proj5
2001-06-14,1702.15,2044.07,341.92,Category1,Proj2
2001-06-15,1404.34,2028.43,624.09,Category6,Proj5
2001-06-18,1615.65,1988.63,372.98,Category2,Proj7
2001-06-19,1432.04,1992.66,560.62,Category2,Proj1
2001-06-20,1556.55,2031.24,474.69,Category6,Proj6
2001-06-21,1721.94,2058.76,336.82,Category6,Proj7
2001-06-22,1411.14,2034.84,623.7,Category5,Proj5
2001-06-25,1525.96,2050.87,524.91,Category5,Proj5
2001-06-26,1616.56,2064.62,448.06,Category1,Proj6
2001-06-27,1625.53,2074.74,449.21,Category5,Proj10
2001-06-28,1664.09,2125.46,461.37,Category2,Proj6
2001-06-29,1575.22,2160.54,585.32,Category2,Proj9
2001-07-02,1553.52,2148.72,595.2,Category2,Proj10
2001-07-03,1480.8,2140.8,660.0,Category6,Proj10
2001-07-05,1609.02,2080.11,471.09,Category2,Proj4
2001-07-06,1522.59,2004.16,481.57,Category2,Proj8
2001-07-09,1655.26,2026.71,371.45,Category6,Proj4
2001-07-10,1475.53,1962.79,487.26,Category5,Proj2
2001-07-11,1612.67,1972.04,359.37,Category5,Proj1
2001-07-12,1554.55,2075.74,521.19,Category4,Proj10
2001-07-13,1370.12,2084.79,714.67,Category3,Proj10
2001-07-16,1384.24,2029.12,644.88,Category2,Proj2
2001-07-17,1624.76,2067.32,442.56,Category1,Proj8
2001-07-18,1285.21,2016.17,730.96,Category6,Proj10
2001-07-19,1522.0,2046.59,524.59,Category6,Proj3
2001-07-20,1501.94,2029.37,527.43,Category1,Proj7
2001-07-23,1607.94,1988.56,380.62,Category6,Proj3
2001-07-24,1408.43,1959.24,550.81,Category1,Proj6
2001-07-25,1435.92,1984.32,548.4,Category3,Proj9
2001-07-26,1586.58,2022.96,436.38,Category6,Proj8
2001-07-27,1511.83,2029.07,517.24,Category5,Proj10
2001-07-30,1390.18,2017.84,627.66,Category1,Proj3
2001-07-31,1353.4,2027.13,673.73,Category1,Proj7
2001-08-01,1420.27,2068.38,648.11,Category4,Proj10
2001-08-02,1672.83,2087.38,414.55,Category1,Proj7
2001-08-03,1578.53,2066.33,487.8,Category2,Proj4
2001-08-06,1498.54,2034.26,535.72,Category3,Proj3
2001-08-07,1384.4,2027.79,643.39,Category3,Proj5
2001-08-08,1580.45,1966.36,385.91,Category6,Proj5
2001-08-09,1361.0,1963.32,602.32,Category4,Proj4
2001-08-10,1503.34,1956.47,453.13,Category3,Proj1
2001-08-13,1441.9,1982.25,540.35,Category2,Proj10
2001-08-14,1316.79,1964.53,647.74,Category3,Proj1
2001-08-15,1436.95,1918.89,481.94,Category6,Proj9
2001-08-16,1379.73,1930.32,550.59,Category5,Proj8
2001-08-17,1395.33,1867.01,471.69,Category3,Proj2
2001-08-20,1512.57,1881.35,368.78,Category1,Proj5
2001-08-21,1308.64,1831.3,522.66,Category4,Proj1
2001-08-22,1293.17,1860.01,566.84,Category2,Proj8
2001-08-23,1338.38,1842.97,504.59,Category1,Proj9
2001-08-24,1545.0,1916.8,371.8,Category4,Proj5
2001-08-27,1294.09,1912.41,618.32,Category6,Proj10
2001-08-28,1255.57,1864.98,609.41,Category1,Proj4
2001-08-29,1172.89,1843.17,670.28,Category1,Proj4
2001-08-30,1150.06,1791.68,641.62,Category1,Proj10
2001-08-31,1357.74,1805.43,447.69,Category1,Proj6
2001-09-04,1297.75,1770.78,473.03,Category5,Proj1
2001-09-05,1396.65,1759.01,362.36,Category5,Proj5
2001-09-06,1309.25,1705.64,396.39,Category3,Proj7
2001-09-07,1304.99,1687.7,382.71,Category3,Proj1
2001-09-10,1296.44,1695.38,398.94,Category4,Proj8
2001-09-17,1174.19,1579.55,405.36,Category6,Proj7
2001-09-18,1101.77,1555.08,453.31,Category6,Proj3
2001-09-19,1138.1,1527.8,389.7,Category5,Proj2
2001-09-20,1202.14,1470.93,268.79,Category2,Proj4
2001-09-21,1123.95,1423.19,299.24,Category1,Proj10
2001-09-24,1040.15,1499.4,459.25,Category2,Proj4
2001-09-25,1085.37,1501.64,416.27,Category3,Proj2
2001-09-26,1010.85,1464.04,453.19,Category3,Proj5
2001-09-27,1199.07,1460.71,261.64,Category3,Proj3
2001-09-28,1102.78,1498.8,396.02,Category5,Proj9
2001-10-01,1146.48,1480.46,333.98,Category2,Proj3
2001-10-02,1025.93,1492.33,466.4,Category6,Proj8
2001-10-03,1069.08,1580.81,511.73,Category4,Proj5
2001-10-04,1128.95,1597.31,468.36,Category4,Proj5
2001-10-05,1065.58,1605.3,539.72,Category6,Proj9
2001-10-08,1041.23,1605.95,564.72,Category1,Proj1
2001-10-09,1209.13,1570.19,361.06,Category4,Proj10
2001-10-10,1319.97,1626.26,306.29,Category3,Proj2
2001-10-11,1014.79,1701.47,686.68,Category1,Proj6
2001-10-12,1205.01,1703.4,498.39,Category4,Proj9
2001-10-15,1358.65,1696.31,337.66,Category1,Proj4
2001-10-16,1342.4,1722.07,379.67,Category5,Proj6
2001-10-17,1228.59,1646.34,417.75,Category3,Proj7
2001-10-18,1220.71,1652.72,432.01,Category2,Proj7
2001-10-19,1362.32,1671.31,308.99,Category4,Proj8
2001-10-22,1282.97,1708.08,425.11,Category4,Proj9
2001-10-23,1312.33,1704.44,392.11,Category1,Proj10
2001-10-24,1346.93,1731.54,384.61,Category6,Proj9
2001-10-25,1440.84,1775.47,334.63,Category2,Proj3
2001-10-26,1233.96,1768.96,535.0,Category4,Proj8
2001-10-29,1361.67,1699.52,337.85,Category1,Proj9
2001-10-30,1361.58,1667.41,305.83,Category4,Proj9
2001-10-31,1288.61,1690.2,401.59,Category6,Proj10
2001-11-01,1184.63,1746.3,561.67,Category1,Proj3
2001-11-02,1226.51,1745.73,519.22,Category2,Proj10
